!===============================================!				
!	Number	of	hydrograph	!
!===============================================!				
2				
!===============================================!				
!	Hydrograph	1	!	
9200	116.169928076392			
9220	115.931309444722			
9240	115.686318501688			
9260	115.435053240403			
9280	115.177614163618			
9300	114.914104243534			
9320	114.644628880605			
9340	114.369295861383			
9360	114.088215315404			
9380	113.801499671139			
9400	113.509263611023			
9420	113.211624025584			
9440	112.908699966687			
9460	112.600612599918			
9480	112.287485156114			
9500	111.969442882079			
9520	111.646612990482			
9540	111.319124608974			
9560	110.987108728543			
9580	110.650698151112			
9600	110.310027436429			
9620	109.965232848237			
9640	109.616452299773			
9660	109.263825298607			
9680	108.907492890837			
9700	108.547597604677			
9720	108.18428339344			
9740	107.817695577969			
9760	107.447980788501			
9780	107.075286906023			
9800	106.699763003118			
9820	106.321559284341			
9840	105.940827026137			
9860	105.557718516332			
9880	105.172386993222			
9900	104.78498658428			
9920	104.395672244502			
9940	104.004599694435			
9960	103.611925357885			
9980	103.217806299349			
10000	102.822400161197			
10020	102.425865100613			
10040	102.028359726332			
10060	101.630043035205			
10080	101.231074348598			
10100	100.831613248666			
10120	100.431819514522			
10140	100.03185305833			
10160	99.6318738613389			
10180	99.2320419098953			
10200	98.8325171314484			
10220	98.4334593305827			
10240	98.0350281250978			
10260	97.6373828821636			
10280	97.2406826545755			
10300	96.845086117135			
10320	96.4507515031828			
10340	96.0578365413066			
10360	95.6664983922524			
10380	95.2768935860621			
10400	94.8891779594634			
10420	94.5035065935375			
10440	94.1200337516887			
10460	93.7389128179406			
10480	93.3602962355853			
10500	92.9843354462076			
10520	92.6111808291105			
10540	92.2409816411654			
10560	91.8738859571117			
10580	91.5100406103283			
10600	91.149591134103			
10620	90.79268170342			
10640	90.4394550772932			
10660	90.0900525416631			
10680	89.7446138528855			
10700	89.4032771818301			
10720	89.0661790586143			
10740	88.7334543179926			
10760	88.4052360454252			
10780	88.0816555238447			
10800	87.7628421811456			
10820	87.4489235384141			
10840	87.1400251589218			
10860	86.8362705979019			
10880	86.5377813531288			
10900	86.2446768163205			
10920	85.9570742253839			
10940	85.6750886175206			
10960	85.398832783214			
10980	85.1284172211145			
11000	84.8639500938414			
11020	84.6055371847195			
11040	84.3532818554669			
11060	84.1072850048521			
11080	83.8676450283352			
11100	83.6344577787118			
11120	83.4078165277726			
11140	83.1878119289961			
11160	82.9745319812885			
11180	82.7680619937852			
11200	82.5684845517282			
11220	82.3758794834335			
11240	82.1903238283602			
11260	82.0118918062964			
11280	81.8406547876719			
11300	81.6766812650109			
11320	81.5200368255362			
11340	81.3707841249351			
11360	81.2289828622978			
11380	81.0946897562387			
11400	80.9679585222097			
11420	80.8488398510146			
11440	80.7373813885337			
11460	80.6336277166659			
11480	80.5376203354965			
11500	80.4493976466981			
11520	80.3689949381697			
11540	80.2964443699228			
11560	80.2317749612174			
11580	80.1750125789547			
11600	80.1261799273307			
11620	80.0852965387551			
11640	80.0523787660381			
11660	80.02743977585			
11680	80.0104895434543			
11700	80.001534848718			
11720	80.0005792733995			
11740	80.0076231997163			
11760	80.0226638101917			
11780	80.0456950887821			
11800	80.0767078232832			
11820	80.1156896090146			
11840	80.1626248537817			
11860	80.2174947841126			
11880	80.2802774527666			
11900	80.3509477475133			
11920	80.4294774011772			
11940	80.5158350029438			
11960	80.6099860109238			
11980	80.7118927659694			
12000	80.8215145067372			
12020	80.9388073859926			
12040	81.0637244881478			
12060	81.1962158480274			
12080	81.3362284708541			
12100	81.4837063534453			
12120	81.6385905066147			
12140	81.8008189787658			
12160	81.9703268806729			
12180	82.1470464114353			
12200	82.3309068855969			
12220	82.5218347614196			
12240	82.7197536702985			
12260	82.9245844473091			
12280	83.1362451628717			
12300	83.354651155522			
12320	83.5797150657751			
12340	83.8113468710676			
12360	84.0494539217659			
12380	84.2939409782244			
12400	84.5447102488803			
12420	84.8016614293688			
12440	85.0646917426438			
12460	85.3336959800869			
12480	85.6085665435898			
12500	85.8891934885922			
12520	86.1754645680575			
12540	86.4672652773709			
12560	86.7644789001393			
12580	87.0669865548763			
12600	87.3746672425536			
12620	87.6873978949983			
12640	88.0050534241191			
12660	88.3275067719399			
12680	88.6546289614206			
12700	88.9862891480473			
12720	89.3223546721671			
12740	89.6626911120514			
12760	90.0071623376619			
12780	90.3556305651014			
12800	90.7079564117248			
12820	91.0639989518914			
12840	91.4236157733321			
12860	91.7866630341132			
12880	92.1529955201709			
12900	92.5224667033953			
12920	92.8949288002391			
12940	93.2702328308299			
12960	93.6482286785593			
12980	94.0287651501281			
13000	94.4116900360215			
13020	94.7968501713906			
13040	95.1840914973168			
13060	95.5732591224328			
13080	95.9641973848774			
13100	96.3567499145581			
13120	96.7507596956969			
13140	97.1460691296348			
13160	97.542520097869			
13180	97.9399540252981			
13200	98.3382119436501			
13220	98.7371345550677			
13240	99.1365622958254			
13260	99.5363354001524			
13280	99.9362939641372
13300	100			
25000	100			
!===============================================!				
!	Hydrograph	2		
!===============================================!				
318				
0	100	
7000	100		
7020	100.399973333867			
7040	100.799786683733			
7060	101.199280129589			
7080	101.598293879383			
7100	101.996668332937			
7120	102.394244145778			
7140	102.790862292885			
7160	103.186364132285			
7180	103.580591468516			
7200	103.973386615901			
7220	104.364592461617			
7240	104.754052528543			
7260	105.141611037843			
7280	105.527112971282			
7300	105.910404133227			
7320	106.291331212322			
7340	106.669741842816			
7360	107.045484665502			
7380	107.41840938826			
7400	107.788366846173			
7420	108.155209061191			
7440	108.51878930132			
7460	108.87896213931			
7480	109.23558351083			
7500	109.588510772084			
7520	109.937602756875			
7540	110.282719833062			
7560	110.623723958418			
7580	110.960478735837			
7600	111.292849467901			
7620	111.620703210746			
7640	111.943908827248			
7660	112.262337039469			
7680	112.575860480369			
7700	112.884353744754			
7720	113.187693439429			
7740	113.485758232563			
7760	113.778428902211			
7780	114.065588384008			
7800	114.34712181799			
7820	114.622916594538			
7840	114.892862399417			
7860	115.156851257906			
7880	115.414777577979			
7900	115.66653819255			
7920	115.912032400727			
7940	116.151162008102			
7960	116.38383136602			
7980	116.609947409839			
8000	116.829419696158			
8020	117.042160438987			
8040	117.248084544867			
8060	117.4471096469			
8080	117.639156137699			
8100	117.824147201229			
8120	118.00200884353			
8140	118.172669922318			
8160	118.336062175435			
8180	118.49212024816			
8200	118.640781719345			
8220	118.781987126381			
8240	118.915679988991			
8260	119.04180683181			
8280	119.160317205785			
8300	119.271163708344			
8320	119.374302002365			
8340	119.469690833906			
8360	119.557292048706			
8380	119.637070607447			
8400	119.708994599769			
8420	119.773035257034			
8440	119.829166963834			
8460	119.877367268233			
8480	119.917616890753			
8500	119.949899732081			
8520	119.974202879512			
8540	119.99051661211			
8560	119.998834404599			
8580	119.999152929975			
8600	119.99147206083			
8620	119.97579486941			
8640	119.952127626383			
8660	119.920479798331			
8680	119.880864043962			
8700	119.833296209049			
8720	119.777795320094			
8740	119.714383576711			
8760	119.643086342752			
8780	119.563932136161			
8800	119.476952617564			
8820	119.382182577609			
8840	119.279659923049			
8860	119.169425661578			
8880	119.051523885432			
8900	118.926001753748			
8920	118.792909473707			
8940	118.652300280444			
8960	118.504230415763			
8980	118.348759105636			
9000	118.185948536514			
9020	118.015863830453			
9040	117.838573019068			
9060	117.654147016319			
9080	117.46265959015			
9100	117.264187332977			
9120	117.058809631058			
9140	116.846608632733			
9160	116.627669215574			
9180	116.402078952428			
9200	116.169928076392			
9220	115.931309444722			
9240	115.686318501688			
9260	115.435053240403			
9280	115.177614163618			
9300	114.914104243534			
9320	114.644628880605			
9340	114.369295861383			
9360	114.088215315404			
9380	113.801499671139			
9400	113.509263611023			
9420	113.211624025584			
9440	112.908699966687			
9460	112.600612599918			
9480	112.287485156114			
9500	111.969442882079			
9520	111.646612990482			
9540	111.319124608974			
9560	110.987108728543			
9580	110.650698151112			
9600	110.310027436429			
9620	109.965232848237			
9640	109.616452299773			
9660	109.263825298607			
9680	108.907492890837			
9700	108.547597604677			
9720	108.18428339344			
9740	107.817695577969			
9760	107.447980788501			
9780	107.075286906023			
9800	106.699763003118			
9820	106.321559284341			
9840	105.940827026137			
9860	105.557718516332			
9880	105.172386993222			
9900	104.78498658428			
9920	104.395672244502			
9940	104.004599694435			
9960	103.611925357885			
9980	103.217806299349			
10000	102.822400161197			
10020	102.425865100613			
10040	102.028359726332			
10060	101.630043035205			
10080	101.231074348598			
10100	100.831613248666			
10120	100.431819514522			
10140	100.03185305833			
10160	99.6318738613389			
10180	99.2320419098953			
10200	98.8325171314484			
10220	98.4334593305827			
10240	98.0350281250978			
10260	97.6373828821636			
10280	97.2406826545755			
10300	96.845086117135			
10320	96.4507515031828			
10340	96.0578365413066			
10360	95.6664983922524			
10380	95.2768935860621			
10400	94.8891779594634			
10420	94.5035065935375			
10440	94.1200337516887			
10460	93.7389128179406			
10480	93.3602962355853			
10500	92.9843354462076			
10520	92.6111808291105			
10540	92.2409816411654			
10560	91.8738859571117			
10580	91.5100406103283			
10600	91.149591134103			
10620	90.79268170342			
10640	90.4394550772932			
10660	90.0900525416631			
10680	89.7446138528855			
10700	89.4032771818301			
10720	89.0661790586143			
10740	88.7334543179926			
10760	88.4052360454252			
10780	88.0816555238447			
10800	87.7628421811456			
10820	87.4489235384141			
10840	87.1400251589218			
10860	86.8362705979019			
10880	86.5377813531288			
10900	86.2446768163205			
10920	85.9570742253839			
10940	85.6750886175206			
10960	85.398832783214			
10980	85.1284172211145			
11000	84.8639500938414			
11020	84.6055371847195			
11040	84.3532818554669			
11060	84.1072850048521			
11080	83.8676450283352			
11100	83.6344577787118			
11120	83.4078165277726			
11140	83.1878119289961			
11160	82.9745319812885			
11180	82.7680619937852			
11200	82.5684845517282			
11220	82.3758794834335			
11240	82.1903238283602			
11260	82.0118918062964			
11280	81.8406547876719			
11300	81.6766812650109			
11320	81.5200368255362			
11340	81.3707841249351			
11360	81.2289828622978			
11380	81.0946897562387			
11400	80.9679585222097			
11420	80.8488398510146			
11440	80.7373813885337			
11460	80.6336277166659			
11480	80.5376203354965			
11500	80.4493976466981			
11520	80.3689949381697			
11540	80.2964443699228			
11560	80.2317749612174			
11580	80.1750125789547			
11600	80.1261799273307			
11620	80.0852965387551			
11640	80.0523787660381			
11660	80.02743977585			
11680	80.0104895434543			
11700	80.001534848718			
11720	80.0005792733995			
11740	80.0076231997163			
11760	80.0226638101917			
11780	80.0456950887821			
11800	80.0767078232832			
11820	80.1156896090146			
11840	80.1626248537817			
11860	80.2174947841126			
11880	80.2802774527666			
11900	80.3509477475133			
11920	80.4294774011772			
11940	80.5158350029438			
11960	80.6099860109238			
11980	80.7118927659694			
12000	80.8215145067372			
12020	80.9388073859926			
12040	81.0637244881478			
12060	81.1962158480274			
12080	81.3362284708541			
12100	81.4837063534453			
12120	81.6385905066147			
12140	81.8008189787658			
12160	81.9703268806729			
12180	82.1470464114353			
12200	82.3309068855969			
12220	82.5218347614196			
12240	82.7197536702985			
12260	82.9245844473091			
12280	83.1362451628717			
12300	83.354651155522			
12320	83.5797150657751			
12340	83.8113468710676			
12360	84.0494539217659			
12380	84.2939409782244			
12400	84.5447102488803			
12420	84.8016614293688			
12440	85.0646917426438			
12460	85.3336959800869			
12480	85.6085665435898			
12500	85.8891934885922			
12520	86.1754645680575			
12540	86.4672652773709			
12560	86.7644789001393			
12580	87.0669865548763			
12600	87.3746672425536			
12620	87.6873978949983			
12640	88.0050534241191			
12660	88.3275067719399			
12680	88.6546289614206			
12700	88.9862891480473			
12720	89.3223546721671			
12740	89.6626911120514			
12760	90.0071623376619			
12780	90.3556305651014			
12800	90.7079564117248			
12820	91.0639989518914			
12840	91.4236157733321			
12860	91.7866630341132			
12880	92.1529955201709			
12900	92.5224667033953			
12920	92.8949288002391			
12940	93.2702328308299			
12960	93.6482286785593			
12980	94.0287651501281			
13000	94.4116900360215			
13020	94.7968501713906			
13040	95.1840914973168			
13060	95.5732591224328			
13080	95.9641973848774			
13100	96.3567499145581			
13120	96.7507596956969			
13140	97.1460691296348			
13160	97.542520097869			
13180	97.9399540252981			
13200	98.3382119436501			
13220	98.7371345550677			
13240	99.1365622958254			
13260	99.5363354001524			
13280	99.9362939641372	
13300	100		
25000	100			
